1,Aceh (NAD)
2,Bali
3,Banten
4,Bengkulu
5,DI Yogyakarta
6,DKI Jakarta
7,Gorontalo
8,Jambi
9,Jawa Barat
10,Jawa Tengah
11,Jawa Timur
12,Kalimantan Barat
13,Kalimantan Selatan
14,Kalimantan Tengah
15,Kalimantan Timur
16,Kalimantan Utara
17,Kepulauan Bangka Belitung
18,Kepulauan Riau
19,Lampung
20,Maluku
21,Maluku Utara
22,Nusa Tenggara Barat (NTB)
23,Nusa Tenggara Timur (NTT)
24,Papua
25,Papua Barat
26,Papua Barat Daya
27,Papua Pegunungan
28,Papua Selatan
29,Papua Tengah
30,Riau
31,Sulawesi Barat
32,Sulawesi Selatan
33,Sulawesi Tengah
34,Sulawesi Tenggara
35,Sulawesi Utara
36,Sumatera Barat
37,Sumatera Selatan
38,Sumatera Utara
